step,actor/entropy_loss,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_loss,actor/ppo_kl,critic/advantages/max,critic/advantages/mean,critic/advantages/min,critic/grad_norm,critic/kl,critic/kl_coeff,critic/lr,critic/returns/max,critic/returns/mean,critic/returns/min,critic/rewards/max,critic/rewards/mean,critic/rewards/min,critic/score/max,critic/score/mean,critic/score/min,critic/values/max,critic/values/mean,critic/values/min,critic/vf_clipfrac,critic/vf_explained_var,critic/vf_loss,critic/vpred_mean,env/finish_ratio,env/number_of_actions/max,env/number_of_actions/mean,env/number_of_actions/min,env/number_of_valid_action,env/number_of_valid_search,env/ratio_of_valid_action,global_seqlen/balanced_max,global_seqlen/balanced_min,global_seqlen/max,global_seqlen/mean,global_seqlen/min,global_seqlen/minmax_diff,mfu/actor,mfu/critic,prompt_length/clip_ratio,prompt_length/max,prompt_length/mean,prompt_length/min,response_length/clip_ratio,response_length/max,response_length/mean,response_length/min,state_tokens/coverage,state_tokens/total,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/ref,timing_per_token_ms/update_actor,timing_per_token_ms/update_critic,timing_per_token_ms/values,timing_s/adv,timing_s/gen,timing_s/ref,timing_s/save_checkpoint,timing_s/step,timing_s/testing,timing_s/update_actor,timing_s/update_critic,timing_s/values,val/test_score/nq
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172
1,1.127,2.977,0.0,0.002,0.163,0.0,4.701,0.0,-5.616,126.232,-0.0,0.001,0.0,1.001,0.204,-0.003,1.001,0.215,-0.003,1.0,0.215,0.0,12.25,-0.609,-11.25,0.0,-32.28,2.919,-0.584,0.975,4.0,2.074,1.0,1.99,1.016,0.978,56467.0,56466.0,62307.0,56466.375,53542.0,8765.0,0.095,0.028,0.0,246.0,161.094,152.0,0.002,2162.0,721.193,69.0,0.335,123791.0,0.001,0.195,0.01,0.09,0.309,0.054,0.346,71.874,4.423,,285.684,,40.7,139.62,24.316,
2,1.119,2.961,0.0,0.003,0.209,-0.001,4.978,0.0,-5.248,124.46,-0.0,0.001,0.0,1.003,0.234,-0.003,1.003,0.25,-0.003,1.0,0.25,0.0,11.375,-0.613,-12.438,0.0,-29.273,3.016,-0.497,0.965,4.0,2.072,1.0,1.988,1.023,0.978,57038.0,57037.0,60088.0,57037.125,52584.0,7504.0,0.114,0.028,0.0,238.0,161.635,153.0,0.002,2354.0,729.57,50.0,0.336,125651.0,0.001,0.193,0.009,0.075,0.311,0.053,0.418,72.104,4.296,,281.601,,34.344,141.809,24.325,
3,1.06,3.339,0.0,0.003,0.238,0.001,5.787,-0.0,-4.952,103.258,0.0,0.001,0.0,1.002,0.253,-0.004,1.002,0.266,-0.004,1.0,0.266,0.0,10.562,-0.4,-13.688,0.154,-25.84,2.667,-0.016,0.961,4.0,2.064,1.0,1.982,1.021,0.979,55941.0,55940.0,60638.0,55940.25,52706.0,7932.0,0.108,0.027,0.0,290.0,162.217,152.0,0.002,2289.0,711.85,53.0,0.326,118857.0,0.001,0.195,0.01,0.079,0.312,0.054,0.447,71.181,4.278,,280.068,,35.468,139.717,24.221,
4,1.111,5.485,0.0,0.003,0.288,-0.0,5.573,-0.0,-6.006,96.77,0.001,0.001,0.0,1.002,0.234,-0.003,1.002,0.248,-0.003,1.0,0.248,0.0,12.375,0.289,-10.688,0.137,-22.46,2.093,0.578,0.979,4.0,2.064,1.0,1.98,1.002,0.977,56437.0,56436.0,61061.0,56436.375,49671.0,11390.0,0.109,0.027,0.0,262.0,162.598,153.0,0.002,2420.0,719.221,35.0,0.341,125437.0,0.001,0.194,0.01,0.079,0.311,0.054,0.41,71.281,4.332,,281.052,,35.795,140.63,24.283,
5,1.114,3.375,0.0,0.004,0.042,0.0,6.45,0.0,-6.2,63.476,0.0,0.001,0.0,1.002,0.237,-0.003,1.002,0.238,-0.003,1.0,0.238,0.0,11.125,0.887,-9.25,0.179,-14.792,1.517,0.754,0.975,4.0,2.105,1.0,2.027,1.053,0.979,57673.0,57672.0,62147.0,57672.625,54628.0,7519.0,0.117,0.028,0.0,252.0,161.762,149.0,0.002,2333.0,739.373,99.0,0.331,125394.0,0.001,0.19,0.009,0.074,0.307,0.053,0.385,71.789,4.291,,280.54,,34.083,141.417,24.267,
6,1.104,1.835,0.0,0.003,-0.039,-0.001,6.954,-0.0,-7.052,34.018,-0.001,0.001,0.0,1.003,0.255,-0.003,1.003,0.264,-0.003,1.0,0.264,0.0,9.875,0.688,-8.875,0.062,-8.428,0.885,0.538,0.971,4.0,2.039,1.0,1.969,0.998,0.982,55531.0,55530.0,59283.0,55530.25,50705.0,8578.0,0.109,0.027,0.0,247.0,161.031,150.0,0.002,2252.0,706.629,85.0,0.336,121681.0,0.001,0.196,0.01,0.079,0.318,0.055,0.386,70.958,4.246,,280.668,,35.128,141.404,24.301,
7,1.156,5.069,0.0,0.004,-0.15,-0.0,8.943,-0.0,-8.018,27.324,-0.0,0.001,0.0,1.002,0.238,-0.004,1.002,0.252,-0.004,1.0,0.252,0.0,7.781,-0.061,-9.312,0.068,-4.595,0.545,0.015,0.992,4.0,1.967,1.0,1.908,0.916,0.984,53210.0,53209.0,55097.0,53209.375,50491.0,4606.0,0.102,0.026,0.0,236.0,161.215,152.0,0.002,2146.0,670.182,59.0,0.348,119545.0,0.001,0.197,0.01,0.084,0.327,0.057,0.336,67.68,4.181,,275.691,,35.65,139.357,24.287,
8,1.154,3.511,0.0,0.002,-0.159,-0.0,6.698,-0.0,-6.449,20.24,0.0,0.001,0.0,1.002,0.211,-0.003,1.002,0.219,-0.003,1.0,0.219,0.0,5.5,0.361,-4.75,0.024,-3.134,0.367,0.227,0.965,4.0,2.035,1.0,1.949,0.984,0.977,54340.0,54339.0,56853.0,54339.875,52509.0,4344.0,0.108,0.026,0.0,225.0,161.443,153.0,0.002,2321.0,687.617,63.0,0.334,117697.0,0.001,0.206,0.01,0.081,0.323,0.056,0.406,72.474,4.237,,281.24,,35.09,140.469,24.341,
9,1.035,3.405,0.0,0.003,-0.022,-0.0,6.728,-0.0,-6.822,12.934,-0.0,0.001,0.0,1.003,0.305,-0.003,1.003,0.299,-0.002,1.0,0.299,0.0,5.094,0.395,-3.844,0.001,-1.538,0.264,0.419,0.977,4.0,2.016,1.0,1.926,0.949,0.976,53533.0,53532.0,56979.0,53532.875,51335.0,5644.0,0.105,0.026,0.0,246.0,162.076,151.0,0.002,2149.0,674.375,59.0,0.339,116937.0,0.001,0.209,0.01,0.082,0.328,0.057,0.454,72.33,4.202,,281.27,,34.946,140.61,24.57,
